SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
89,Kyrgyzstan,"87,045",+55,"1,485 ",+1,"83,980",+56,"1,580",16,"13,189",225,"797,877","120,894","6,599,827 ",Asia
90,Zambia,"85,502",+262,"1,170 ",+3,"82,457",+25,"1,875",146,"4,562",62,"1,174,217","62,646","18,743,627 ",Africa
91,Montenegro,"84,700",0,"1,151 ",0,"74,852",0,"8,697",69,"134,846","1,832","311,586","496,060","628,122 ",Europe
92,Norway,"82,984",+529,648 ,+7,"70,224",0,"12,112",34,"15,223",119,"4,269,215","783,177","5,451,149 ",Europe
93,Uzbekistan,"80,858",+115,622 ,0,"79,450",+79,786,23,"2,392",18,"1,377,915","40,754","33,810,362 ",Asia
94,Uruguay,"73,770",0,725 ,0,"62,584",0,"10,461",135,"21,185",208,"1,160,950","333,392","3,482,240 ",South America
95,Finland,"68,693",+842,804 ,+3,"46,000",0,"21,889",56,"12,384",145,"3,684,260","664,213","5,546,809 ",Europe
96,Mozambique,"64,929",0,732 ,0,"50,844",0,"13,353",0,"2,037",23,"456,343","14,320","31,867,162 ",Africa
97,Cuba,"62,998",0,376 ,0,"58,610",0,"4,012",71,"5,564",33,"2,690,636","237,653","11,321,721 ",North America
98,El Salvador,"62,531",0,"1,962 ",+4,"59,576",0,993,41,"9,606",301,"807,015","123,978","6,509,323 ",North America
99,Singapore,"60,137",+9,30 ,0,"60,001",+17,106,0,"10,223",5,"8,055,714","1,369,367","5,882,803 ",Asia
100,Luxembourg,"58,111",0,697 ,0,"54,528",0,"2,886",26,"91,783","1,101","2,259,527","3,568,792","633,135 ",Europe
101,Afghanistan,"56,044",+28,"2,462 ",+2,"49,536",+37,"4,046","1,097","1,417",62,"326,235","8,250","39,542,518 ",Asia
102,Namibia,"41,466",0,474 ,0,"38,793",0,"2,199",28,"16,114",184,"324,946","126,280","2,573,212 ",Africa
103,Cameroon,"40,622",0,601 ,0,"35,261",0,"4,760",53,"1,504",22,"905,000","33,508","27,008,216 ",Africa
104,Uganda,"40,593",0,334  ,0,"15,099",0,"25,160",0,868,7,"904,943","19,358","46,748,281 ",Africa
105,Cyprus,"40,344",0,241 ,0,"2,057",0,"38,046",42,"33,244",199,"2,634,298","2,170,717","1,213,561 ",Asia
106,Ivory Coast,"38,120",0,214 ,0,"35,111",0,"2,795",0,"1,421",8,"466,511","17,384","26,835,349 ",Africa
107,Senegal,"37,254",+192,990 ,+9,"33,326",+283,"2,938",42,"2,185",58,"417,445","24,480","17,052,432 ",Africa
108,Zimbabwe,"36,535",0,"1,507 ",0,"34,124",0,904,22,"2,433",100,"362,362","24,133","15,015,094 ",Africa
109,Botswana,"34,999",0,447 ,0,"29,916",0,"4,636",1,"14,675",187,"880,029","368,996","2,384,929 ",Africa
110,Malawi,"32,894",0,"1,088 ",0,"26,890",0,"4,916",43,"1,689",56,"209,096","10,736","19,475,663 ",Africa
111,Jamaica,"31,907",0,494 ,0,"15,371",0,"16,042",27,"10,742",166,"248,645","83,710","2,970,300 ",North America
112,Australia,"29,154",+17,909 ,0,"26,233",+2,"2,012",0,"1,134",35,"15,020,168","584,254","25,708,263 ",Australia/Oceania
113,Sudan,"29,135",0,"1,959 ",0,"23,583",0,"3,593",0,654,44,0,0,"44,566,181 ",Africa
114,Thailand,"27,402",+248,88 ,+1,"26,339",+40,975,1,392,1,"1,624,595","23,234","69,923,833 ",Asia
115,Malta,"27,272",+211,361 ,+4,"23,784",+193,"3,127",0,"61,649",816,"767,446","1,734,835","442,374 ",Europe
116,DRC,"27,100",0,722 ,0,"23,759",0,"2,619",0,296,8,0,0,"91,461,188 ",Africa
117,Maldives,"21,819",0,64 ,0,"19,342",0,"2,413",179,"39,872",117,"585,713","1,070,323","547,230 ",Asia
118,Madagascar,"21,688",0,335 ,0,"20,614",0,739,23,769,12,"128,306","4,552","28,188,911 ",Africa
119,Angola,"21,446",0,522 ,0,"19,971",0,953,17,639,16,"406,827","12,115","33,579,336 ",Africa
120,Rwanda,"20,412",0,282 ,0,"18,804",0,"1,326",13,"1,549",21,"1,070,010","81,204","13,176,882 ",Africa
121,Mayotte,"18,845",0,137 ,0,"2,964",0,"15,744",23,"67,929",494,"143,569","517,511","277,422 ",Africa
122,French Polynesia,"18,561",0,141 ,0,"4,842",0,"13,578",3,"65,806",500,"26,355","93,439","282,055 ",Australia/Oceania
123,Guinea,"17,982",0,104 ,0,"15,719",0,"2,159",24,"1,344",8,"159,639","11,930","13,381,759 ",Africa
124,Mauritania,"17,487",0,444 ,0,"16,806",0,237,14,"3,693",94,"187,554","39,609","4,735,112 ",Africa
